variable,temp,rain,wetb,dewpt,vappr,rhum,msl,wdsp,sun,vis,clht,clamt
temp,1.0000,-0.0055,0.9762,0.8821,0.8722,-0.3157,0.0705,-0.0180,0.2655,0.1987,0.0410,0.1855
rain,-0.0055,1.0000,0.0350,0.0797,0.0781,0.1838,-0.1884,0.0678,-0.0876,-0.1916,-0.1376,0.1668
wetb,0.9762,0.0350,1.0000,0.9613,0.9514,-0.1076,0.0457,-0.0600,0.1585,0.0870,-0.0253,0.2293
dewpt,0.8821,0.0797,0.9613,1.0000,0.9851,0.1621,0.0124,-0.1142,0.0204,-0.0514,-0.0965,0.2588
vappr,0.8722,0.0781,0.9514,0.9851,1.0000,0.1579,0.0210,-0.1211,0.0221,-0.0597,-0.0962,0.2440
rhum,-0.3157,0.1838,-0.1076,0.1621,0.1579,1.0000,-0.1216,-0.2092,-0.5038,-0.5260,-0.2758,0.1273
msl,0.0705,-0.1884,0.0457,0.0124,0.0210,-0.1216,1.0000,-0.3513,0.0946,0.0686,0.0845,-0.1294
wdsp,-0.0180,0.0678,-0.0600,-0.1142,-0.1211,-0.2092,-0.3513,1.0000,0.0710,0.0878,-0.1079,0.1189
sun,0.2655,-0.0876,0.1585,0.0204,0.0221,-0.5038,0.0946,0.0710,1.0000,0.3271,0.3014,-0.3210
vis,0.1987,-0.1916,0.0870,-0.0514,-0.0597,-0.5260,0.0686,0.0878,0.3271,1.0000,0.2734,-0.2060
clht,0.0410,-0.1376,-0.0253,-0.0965,-0.0962,-0.2758,0.0845,-0.1079,0.3014,0.2734,1.0000,-0.4305
clamt,0.1855,0.1668,0.2293,0.2588,0.2440,0.1273,-0.1294,0.1189,-0.3210,-0.2060,-0.4305,1.0000
