hour (UTC),temp,rain,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,sun,vis,clht,clamt
0,8.4505,0.0780,7.4926,6.3488,9.9804,86.8955,1013.8177,9.0278,237.8255,0.0000,22508.0046,51.3742,5.0685
1,8.2355,0.0778,7.3430,6.2597,9.9264,87.6269,1013.7093,9.0888,239.5862,0.0000,22290.3367,50.4248,5.0997
2,8.0838,0.0774,7.2327,6.1950,9.8804,88.1109,1013.5745,9.1010,240.7272,0.0000,22099.3424,48.9467,5.1746
3,7.9691,0.0825,7.1478,6.1429,9.8419,88.4647,1013.4361,9.0968,241.5633,0.0000,22027.1776,48.3551,5.2412
4,7.8559,0.0888,7.0707,6.0999,9.8173,88.8906,1013.3108,9.0930,241.6168,0.0000,22250.1319,49.1544,5.3472
5,7.8231,0.0887,7.0533,6.0992,9.8193,89.0831,1013.2970,9.1215,241.4808,0.0264,22892.1346,51.0638,5.4322
6,8.0102,0.0860,7.2071,6.2284,9.9114,88.7463,1013.3643,9.2185,240.8713,0.0962,23556.5666,53.7496,5.5609
7,8.3889,0.0857,7.4783,6.3973,10.0414,87.5706,1013.4921,9.5005,240.3567,0.1641,24408.1368,55.4339,5.6591
8,8.9566,0.0840,7.8441,6.5674,10.1621,85.4331,1013.6485,9.9179,239.4780,0.2398,25708.8818,57.2111,5.7575
9,9.6490,0.0808,8.2583,6.7117,10.2507,82.5618,1013.7639,10.4563,238.5348,0.3181,26795.7476,57.8251,5.8555
10,10.3576,0.0820,8.6753,6.8261,10.3262,79.5910,1013.8065,11.0057,237.9709,0.3815,27730.7579,56.9119,5.9180
11,10.9881,0.0801,9.0398,6.9174,10.3853,76.9506,1013.8038,11.5435,236.9308,0.4021,28647.3854,56.6598,5.9738
12,11.4774,0.0857,9.3098,6.9608,10.4117,74.8442,1013.6791,11.8947,234.6406,0.4063,29405.0933,56.6397,6.0074
13,11.7626,0.0938,9.4705,6.9913,10.4415,73.6737,1013.5113,12.0616,232.0146,0.4013,29853.7819,57.4931,6.0175
14,11.9044,0.0959,9.5459,6.9984,10.4526,73.0807,1013.3395,12.0625,229.8056,0.3904,30115.4871,59.0266,5.9964
15,11.8686,0.1029,9.5139,6.9745,10.4333,73.1625,1013.2108,11.8532,228.9285,0.3615,30115.7560,60.6388,5.9638
16,11.6048,0.1023,9.3586,6.9295,10.4084,74.2184,1013.1672,11.4530,227.6896,0.3041,29632.6491,62.7889,5.8911
17,11.1972,0.0978,9.1216,6.8703,10.3677,75.8590,1013.2097,10.8775,225.4991,0.2323,28711.6036,64.0948,5.7945
18,10.7484,0.0960,8.8653,6.8107,10.3202,77.6827,1013.3322,10.2683,224.1603,0.1669,27507.0585,64.6787,5.6799
19,10.1858,0.0921,8.5633,6.7645,10.2904,80.1348,1013.5000,9.7065,225.2841,0.1015,26259.9009,64.6099,5.5219
20,9.6549,0.0861,8.2688,6.7022,10.2408,82.4091,1013.6644,9.2637,227.3549,0.0306,24867.8880,63.0762,5.4016
21,9.2463,0.0796,8.0197,6.6082,10.1646,83.9881,1013.8098,9.0262,230.1663,0.0001,23611.1370,60.1596,5.2834
22,8.9019,0.0825,7.8044,6.5160,10.1043,85.3350,1013.8704,8.9598,232.9893,0.0000,22846.1973,56.1443,5.1477
23,8.6408,0.0797,7.6270,6.4211,10.0374,86.2443,1013.8647,8.9999,235.9024,0.0000,22653.0973,52.6551,5.0769
