indicator,code,count,share %,documented meaning
ind_rain,0,301404,42.6695,satisfactory
ind_rain,1,82,0.0116,deposition
ind_rain,2,62524,8.8515,trace or sum of precipitation
ind_rain,3,54804,7.7586,trace or sum of deposition
ind_rain,4,553,0.0783,estimate precipitation
ind_rain,6,35,0.0050,estimate trace of precipitation
ind_rain,111,286967,40.6257,NOT IN KeyHourly.txt
ind_temp,0,415357,58.8017,positive
ind_temp,1,4022,0.5694,negative
ind_temp,2,23,0.0033,positive estimated
ind_temp,111,286967,40.6257,NOT IN KeyHourly.txt
ind_wetb,0,411917,58.3147,positive
ind_wetb,1,6198,0.8774,negative
ind_wetb,2,23,0.0033,positive estimated
ind_wetb,5,1260,0.1784,frozen negative
ind_wetb,6,4,0.0006,NOT IN KeyHourly.txt
ind_wetb,111,286967,40.6257,NOT IN KeyHourly.txt
ind_wdsp,0,150505,21.3069,NOT IN KeyHourly.txt
ind_wdsp,1,149017,21.0962,NOT IN KeyHourly.txt
ind_wdsp,2,119865,16.9692,over 60 minutes
ind_wdsp,6,15,0.0021,over 60 minutes and partially defective
ind_wdsp,111,286967,40.6257,NOT IN KeyHourly.txt
ind_wddir,0,150456,21.2999,NOT IN KeyHourly.txt
ind_wddir,1,149017,21.0962,NOT IN KeyHourly.txt
ind_wddir,2,119916,16.9764,over 60 minutes
ind_wddir,6,13,0.0018,over 60 minutes and partially defective
ind_wddir,111,286967,40.6257,NOT IN KeyHourly.txt
