year,hours,undocumented 111 %,trace flagged %,hours with rain > 0 %,annual rain total mm
1946,8760,0.0000,24.1553,12.7055,921.7000
1947,8760,0.0000,24.8516,13.1050,915.7000
1948,8784,0.0000,22.4499,12.0332,829.3000
1949,8760,0.0000,23.2763,10.5479,598.3000
1950,8760,0.0000,22.7626,12.2945,794.5000
1951,8760,0.0000,23.5046,11.7808,743.6000
1952,8784,0.0000,24.7495,10.6444,677.2000
1953,8760,0.0000,27.7283,9.1895,580.6000
1954,8760,0.0000,29.7489,12.7055,813.0000
1955,8760,0.0000,25.7877,10.3539,709.5000
1956,8784,0.0000,29.2919,12.1357,787.8000
1957,8760,0.0000,28.8242,12.4772,827.3000
1958,8760,0.0000,31.9635,14.0753,1033.9000
1959,8760,0.0000,30.6849,10.0457,668.5000
1960,8784,0.0000,32.6503,13.8434,1034.3000
1961,8760,0.0000,29.6689,10.9018,678.5000
1962,8760,0.0000,30.9018,11.0959,654.2000
1963,8760,0.0000,30.4680,11.8379,642.9000
1964,8784,0.0000,32.2177,11.1453,689.1000
1965,8760,0.0000,31.3242,13.5502,848.1000
1966,8760,0.0000,28.8128,14.8858,1020.9000
1967,8760,0.0000,29.4749,12.7397,781.7000
1968,8784,0.0000,32.9463,10.6444,790.0000
1969,8760,0.0000,31.0274,11.2671,701.4000
1970,8760,0.0000,31.1530,12.1461,713.6000
1971,8760,0.0000,30.6393,9.0753,591.6000
1972,8784,0.0000,30.5556,10.6899,669.1000
1973,8760,0.0000,27.8653,11.1872,685.6000
1974,8760,0.0000,26.3128,12.1804,702.6000
1975,8760,0.0000,23.9726,9.6347,583.7000
1976,8784,0.0000,22.7914,10.3370,726.6000
1977,8760,0.0000,27.6256,12.4658,689.7000
1978,8760,0.0000,26.6096,12.7626,785.2000
1979,8760,0.0000,29.3950,12.6712,836.5000
1980,8784,0.0000,27.1061,12.5455,825.1000
1981,8760,0.0000,30.3082,12.3630,842.2000
1982,8760,0.0000,29.0639,11.5753,747.0000
1983,8760,0.0000,25.2169,11.4840,702.3000
1984,8784,0.0000,25.9107,11.6462,761.2000
1985,8760,0.0000,30.4452,11.9749,775.4000
1986,8760,0.0000,31.2671,12.5228,821.8000
1987,8760,0.0000,29.1096,11.0502,740.4000
1988,8784,0.0000,27.2996,11.3274,692.5000
1989,8760,0.0000,25.9817,9.6005,555.1000
1990,8760,0.0000,26.2215,10.8790,728.5000
1991,8760,0.0000,29.2922,10.9361,677.3000
1992,8784,0.0000,27.2655,10.2459,623.9000
1993,8760,33.4132,15.6393,13.8128,874.7000
1994,8760,100.0000,0.0000,14.7146,786.6000
1995,8760,100.0000,0.0000,12.3630,711.1000
1996,8784,100.0000,0.0000,14.8110,787.2000
1997,8760,100.0000,0.0000,13.0594,726.1000
1998,8760,100.0000,0.0000,15.7192,831.4000
1999,8760,100.0000,0.0000,13.1164,715.8000
2000,8784,100.0000,0.0000,14.8907,843.4000
2001,8760,100.0000,0.0000,11.3128,628.6000
2002,8760,100.0000,0.0000,17.0662,1095.4000
2003,8760,100.0000,0.0000,11.1986,653.5000
2004,8784,100.0000,0.0000,12.2609,702.6000
2005,8760,100.0000,0.0000,12.0890,683.1000
2006,8760,100.0000,0.0000,12.3059,740.0000
2007,8760,100.0000,0.0000,12.1005,761.0000
2008,8784,100.0000,0.0000,13.5701,942.6000
2009,8760,100.0000,0.0000,14.1781,917.5000
2010,8760,100.0000,0.0000,12.4886,671.7000
2011,8760,100.0000,0.0000,11.5639,671.8000
2012,8784,100.0000,0.0000,14.7883,849.5000
2013,8760,100.0000,0.0000,12.8196,763.9000
2014,8760,100.0000,0.0000,13.6416,927.2000
2015,8760,100.0000,0.0000,13.5502,878.4000
2016,8784,100.0000,0.0000,12.2268,712.7000
2017,8760,100.0000,0.0000,11.8265,661.6000
2018,8760,100.0000,0.0000,12.5571,695.8000
2019,8760,100.0000,0.0000,13.9954,886.0000
2020,8784,100.0000,0.0000,13.4563,748.6000
2021,8760,100.0000,0.0000,11.2443,666.6000
2022,8760,100.0000,0.0000,11.7466,687.1000
2023,8760,100.0000,0.0000,15.1142,1001.5000
2024,8784,100.0000,0.0000,12.2154,669.2000
2025,8760,100.0000,0.0000,12.6142,805.0000
2026,5089,69.3260,3.6549,13.5980,482.9000
