month,temp,rain,wetb,dewpt,vappr,rhum,msl,wdsp,wddir,sun,vis,clht,clamt
1,5.1607,66.1926,4.1868,2.7514,7.6588,84.8575,1012.0119,11.8920,227.3875,60.4963,21178.8499,50.4272,5.6541
2,5.2057,52.9395,4.1046,2.4504,7.4980,82.9654,1013.0711,11.6705,222.9647,75.3358,21259.0064,51.1247,5.7410
3,6.3991,53.6790,5.0852,3.2396,7.8977,81.1185,1013.3467,11.1846,227.1741,114.1148,22580.5433,53.1588,5.6225
4,8.0538,50.4469,6.4775,4.4481,8.5720,79.1556,1014.6907,9.9861,254.9310,162.2654,25359.9938,60.2905,5.3151
5,10.6891,56.1407,8.8795,6.8760,10.1133,78.5370,1015.0367,9.2087,232.6170,196.7543,27377.9233,64.2802,5.3377
6,13.4520,59.5284,11.4720,9.6041,12.1405,78.7399,1015.5783,8.5997,247.8862,183.5148,31086.4355,61.9900,5.6187
7,15.0920,58.6086,13.1304,11.4627,13.6946,80.0374,1015.3279,8.5806,253.3597,163.5247,32149.5003,57.3215,5.8527
8,14.7860,73.9272,13.0120,11.4920,13.7340,81.6918,1014.1428,8.5165,245.6063,155.8185,30656.7785,59.1454,5.6594
9,13.0539,67.7225,11.5013,10.0431,12.5254,82.8095,1014.2607,9.3084,237.8467,128.9087,27288.9472,58.9957,5.4994
10,10.5396,74.2612,9.2561,7.8720,10.8782,84.1221,1012.3788,10.0046,224.0829,100.9150,24398.0455,57.7370,5.5428
11,7.3966,72.3762,6.3654,5.0509,8.9905,85.4829,1011.2228,10.7810,238.1288,70.6138,23118.8658,55.3017,5.4912
12,5.9033,75.7712,4.9624,3.6635,8.1603,85.8803,1011.4791,11.6452,230.3343,54.0737,21516.0768,52.5847,5.6014
