variable,value,hours,days,start (UTC),threshold hours
clamt,8.0000,182,7.6000,1966-02-09 19:00:00,72
clamt,8.0000,180,7.5000,1962-12-30 03:00:00,72
clamt,8.0000,132,5.5000,1947-02-09 00:00:00,72
clht,999.0000,174,7.2000,1984-04-22 13:00:00,72
clht,999.0000,126,5.2000,1957-06-13 17:00:00,72
clht,999.0000,122,5.1000,1962-04-27 16:00:00,72
dewpt,3.0000,27,1.1000,1967-01-14 10:00:00,18
dewpt,10.0000,27,1.1000,1968-12-01 21:00:00,18
dewpt,7.0000,26,1.1000,1972-03-18 14:00:00,18
msl,1018.7000,12,0.5000,1977-12-01 18:00:00,12
rain,0.0000,717,29.9000,1955-07-03 19:00:00,336
rain,0.0000,620,25.8000,1984-04-19 02:00:00,336
rain,0.0000,601,25.0000,2018-06-20 06:00:00,336
rhum,100.0000,91,3.8000,1996-03-22 16:00:00,48
rhum,100.0000,69,2.9000,1996-11-13 17:00:00,48
rhum,100.0000,58,2.4000,1995-12-31 02:00:00,48
sun,0.0000,283,11.8000,2025-02-07 14:00:00,168
sun,0.0000,281,11.7000,1969-03-08 18:00:00,168
sun,0.0000,263,11.0000,1987-01-12 15:00:00,168
temp,6.5000,12,0.5000,1973-01-09 22:00:00,12
vis,30000.0000,70,2.9000,2021-12-14 10:00:00,48
vis,30000.0000,69,2.9000,1948-06-29 10:00:00,48
vis,40000.0000,65,2.7000,2022-06-13 05:00:00,48
wddir,90.0000,26,1.1000,1963-01-05 22:00:00,24
wddir,170.0000,24,1.0000,1953-11-22 18:00:00,24
wddir,240.0000,24,1.0000,2006-02-06 08:00:00,24
