variable,unit,n,min,p5,p25,median,mean,p75,p95,max,std,skew
temp,degC,706369,-11.5000,1.6000,6.1000,9.7000,9.6650,13.2000,17.6000,29.1000,4.8999,-0.0298
rain,mm,706369,0.0000,0.0000,0.0000,0.0000,0.0869,0.0000,0.5000,26.5000,0.4192,11.0123
wetb,degC,706369,-11.5000,0.7000,5.0000,8.4000,8.2213,11.6000,15.1000,22.6000,4.4109,-0.1600
dewpt,degC,706369,-17.7000,-1.0000,3.3000,6.9000,6.5975,10.0000,13.8000,20.5000,4.5913,-0.1736
vappr,hPa,706368,2.2000,5.7000,7.7000,9.9000,10.1673,12.3000,15.8000,24.2000,3.1301,0.4190
rhum,%,706368,19.0000,60.0000,75.0000,84.0000,82.1066,91.0000,98.0000,100.0000,11.7421,-0.7533
msl,hPa,706369,944.1000,991.1000,1006.1000,1014.8000,1013.5493,1022.2000,1031.7000,1048.7000,12.3547,-0.5347
wdsp,knot,706369,0.0000,2.0000,6.0000,9.0000,10.1083,14.0000,20.0000,46.0000,5.6713,0.6952
wddir,deg,693896,10.0000,50.0000,140.0000,230.0000,235.6049,270.0000,320.0000,360.0000,,
sun,h,706369,0.0000,0.0000,0.0000,0.0000,0.1676,0.1000,1.0000,1.0000,0.3269,1.7490
vis,m,706114,5.0000,4000.0000,15000.0000,25000.0000,25687.7339,30000.0000,50000.0000,75000.0000,15176.5318,0.6424
clht,100s of ft,518928,0.0000,5.0000,19.0000,35.0000,56.8700,60.0000,200.0000,440.0000,60.8918,1.7314
clamt,okta,706344,0.0000,1.0000,4.0000,7.0000,5.5779,8.0000,8.0000,8.0000,2.5395,-0.8993
