spell,start,end,days,month
0,1969-03-09,1969-03-19,11,March
1,2025-02-08,2025-02-18,11,February
2,1987-01-13,1987-01-22,10,January
3,1954-01-18,1954-01-25,8,January
4,1957-11-11,1957-11-18,8,November
5,1961-11-13,1961-11-20,8,November
6,1962-12-30,1963-01-06,8,December
7,1969-01-06,1969-01-13,8,January
8,1947-02-07,1947-02-13,7,February
9,1953-11-11,1953-11-17,7,November
10,1955-01-01,1955-01-07,7,January
11,1966-01-20,1966-01-26,7,January
12,1966-02-10,1966-02-16,7,February
13,1968-12-01,1968-12-07,7,December
14,1971-02-02,1971-02-08,7,February
15,1973-01-07,1973-01-13,7,January
