year,annual mean (degC),anomaly vs 1961-1990 (degC)
1946,9.1419,-0.4131
1947,9.0397,-0.5152
1948,9.6361,0.0811
1949,10.2038,0.6488
1950,9.0696,-0.4854
1951,8.7639,-0.7911
1952,8.8955,-0.6595
1953,9.7841,0.2291
1954,9.1210,-0.4340
1955,9.3666,-0.1884
1956,9.1254,-0.4295
1957,9.8036,0.2486
1958,9.3524,-0.2026
1959,10.2355,0.6805
1960,9.5388,-0.0162
1961,9.7984,0.2434
1962,8.8604,-0.6945
1963,8.7739,-0.7811
1964,9.6813,0.1263
1965,8.9650,-0.5900
1966,9.4782,-0.0768
1967,9.3663,-0.1887
1968,9.4982,-0.0568
1969,9.2207,-0.3343
1970,9.5158,-0.0391
1971,10.0624,0.5074
1972,9.2993,-0.2557
1973,9.7821,0.2272
1974,9.3972,-0.1577
1975,9.9602,0.4052
1976,9.7775,0.2225
1977,9.5952,0.0402
1978,9.7770,0.2221
1979,8.9237,-0.6313
1980,9.4939,-0.0611
1981,9.4882,-0.0668
1982,9.6949,0.1399
1983,10.0099,0.4549
1984,9.6884,0.1334
1985,9.1519,-0.4031
1986,8.8299,-0.7251
1987,9.5303,-0.0247
1988,9.9223,0.3673
1989,10.6391,1.0841
1990,10.4678,0.9128
1991,9.8917,0.3367
1992,10.0242,0.4692
1993,9.7820,0.2271
1994,9.5202,-0.0348
1995,9.9777,0.4227
1996,9.0040,-0.5510
1997,10.0497,0.4948
1998,9.8862,0.3312
1999,9.8623,0.3073
2000,9.4060,-0.1490
2001,9.3714,-0.1836
2002,9.9853,0.4304
2003,9.9441,0.3891
2004,9.9037,0.3487
2005,10.0991,0.5441
2006,10.2345,0.6795
2007,10.2120,0.6570
2008,9.4883,-0.0667
2009,9.5773,0.0223
2010,8.4508,-1.1042
2011,10.0262,0.4712
2012,9.4059,-0.1491
2013,9.5162,-0.0388
2014,10.0859,0.5310
2015,9.5001,-0.0549
2016,9.8283,0.2733
2017,10.0749,0.5199
2018,9.9534,0.3984
2019,9.8452,0.2902
2020,9.7872,0.2323
2021,9.9717,0.4167
2022,10.4223,0.8673
2023,10.7434,1.1884
2024,10.3998,0.8449
2025,10.6700,1.1150
