hour (UTC),step at 1993 (degC),step p,significant at 5%,trend with step (degC/decade),trend p
0,-0.77600,0.00108,yes,0.17236,0.00063
1,-0.59226,0.01226,yes,0.14089,0.00518
2,-0.55317,0.01747,yes,0.13434,0.00678
3,-0.63577,0.00624,yes,0.14833,0.00273
4,-0.51379,0.02674,yes,0.14060,0.00472
5,-0.41218,0.07010,no,0.13451,0.00615
6,-0.28813,0.19906,no,0.14023,0.00418
7,-0.01269,0.95546,no,0.11899,0.01598
8,0.12152,0.59274,no,0.11408,0.02044
9,0.16179,0.47469,no,0.12131,0.01349
10,0.25175,0.26924,no,0.11312,0.02113
11,0.21653,0.34928,no,0.12561,0.01215
12,0.14884,0.51750,no,0.13169,0.00848
13,0.17616,0.45252,no,0.12750,0.01218
14,0.09429,0.69067,no,0.13538,0.00877
15,-0.06342,0.78804,no,0.15612,0.00269
16,-0.08770,0.71040,no,0.15088,0.00365
17,-0.17851,0.43176,no,0.15733,0.00167
18,-0.42092,0.05853,no,0.18640,0.00016
19,-0.39406,0.09141,no,0.16350,0.00140
20,-0.51230,0.02802,yes,0.16693,0.00102
21,-0.76306,0.00137,yes,0.19283,0.00018
22,-0.62436,0.00655,yes,0.15807,0.00134
23,-0.62870,0.00656,yes,0.15163,0.00214
