year,frost days (Tmin < 0),ice days (Tmax < 0),warm days (Tmax >= 20),summer days (Tmax >= 25)
1946,24,0,7,0
1947,48,1,27,0
1948,16,0,10,1
1949,16,0,37,2
1950,26,0,15,1
1951,38,0,13,0
1952,39,1,26,0
1953,17,0,17,0
1954,24,0,2,0
1955,41,4,39,1
1956,33,2,14,0
1957,13,0,13,0
1958,25,1,11,0
1959,20,1,36,0
1960,23,0,16,0
1961,16,0,13,0
1962,21,1,3,0
1963,36,0,7,0
1964,11,0,17,0
1965,31,0,5,0
1966,10,0,13,0
1967,18,0,9,0
1968,26,0,13,0
1969,28,0,21,0
1970,28,1,19,0
1971,12,0,23,0
1972,13,0,11,0
1973,18,0,29,0
1974,6,0,10,0
1975,9,0,38,2
1976,20,0,36,1
1977,26,1,20,0
1978,25,0,24,0
1979,33,1,20,0
1980,17,0,6,0
1981,16,1,18,0
1982,18,2,23,0
1983,14,0,37,4
1984,14,0,41,1
1985,32,0,12,0
1986,23,0,10,1
1987,24,2,21,1
1988,14,0,13,0
1989,7,0,50,3
1990,9,0,38,2
1991,13,0,34,0
1992,10,0,21,0
1993,9,0,11,0
1994,12,0,12,0
1995,30,0,52,6
1996,42,0,15,0
1997,26,0,25,0
1998,25,0,14,0
1999,20,0,25,1
2000,29,3,23,1
2001,47,0,22,1
2002,14,0,16,0
2003,35,0,39,1
2004,29,0,26,0
2005,26,0,28,0
2006,31,0,40,3
2007,19,0,13,0
2008,29,0,14,0
2009,36,0,21,0
2010,89,9,24,0
2011,31,0,16,0
2012,22,0,24,0
2013,38,0,39,2
2014,14,0,27,0
2015,28,0,13,0
2016,37,0,30,2
2017,28,0,23,2
2018,34,3,50,6
2019,27,0,27,0
2020,29,0,27,0
2021,36,0,27,3
2022,31,0,37,7
2023,24,0,39,3
2024,23,0,29,0
2025,22,1,48,2
