year,annual total (mm),anomaly vs 1961-1990 (mm)
1946,921.700,188.950
1947,915.700,182.950
1948,829.300,96.550
1949,598.300,-134.450
1950,794.500,61.750
1951,743.600,10.850
1952,677.200,-55.550
1953,580.600,-152.150
1954,813.000,80.250
1955,709.500,-23.250
1956,787.800,55.050
1957,827.300,94.550
1958,1033.900,301.150
1959,668.500,-64.250
1960,1034.300,301.550
1961,678.500,-54.250
1962,654.200,-78.550
1963,642.900,-89.850
1964,689.100,-43.650
1965,848.100,115.350
1966,1020.900,288.150
1967,781.700,48.950
1968,790.000,57.250
1969,701.400,-31.350
1970,713.600,-19.150
1971,591.600,-141.150
1972,669.100,-63.650
1973,685.600,-47.150
1974,702.600,-30.150
1975,583.700,-149.050
1976,726.600,-6.150
1977,689.700,-43.050
1978,785.200,52.450
1979,836.500,103.750
1980,825.100,92.350
1981,842.200,109.450
1982,747.000,14.250
1983,702.300,-30.450
1984,761.200,28.450
1985,775.400,42.650
1986,821.800,89.050
1987,740.400,7.650
1988,692.500,-40.250
1989,555.100,-177.650
1990,728.500,-4.250
1991,677.300,-55.450
1992,623.900,-108.850
1993,874.700,141.950
1994,786.600,53.850
1995,711.100,-21.650
1996,787.200,54.450
1997,726.100,-6.650
1998,831.400,98.650
1999,715.800,-16.950
2000,843.400,110.650
2001,628.600,-104.150
2002,1095.400,362.650
2003,653.500,-79.250
2004,702.600,-30.150
2005,683.100,-49.650
2006,740.000,7.250
2007,761.000,28.250
2008,942.600,209.850
2009,917.500,184.750
2010,671.700,-61.050
2011,671.800,-60.950
2012,849.500,116.750
2013,763.900,31.150
2014,927.200,194.450
2015,878.400,145.650
2016,712.700,-20.050
2017,661.600,-71.150
2018,695.800,-36.950
2019,886.000,153.250
2020,748.600,15.850
2021,666.600,-66.150
2022,687.100,-45.650
2023,1001.500,268.750
2024,669.200,-63.550
2025,805.000,72.250
