year,total (mm),wet days >= 0.2 mm,wet days >= 1 mm,heavy days >= 10 mm,very heavy days >= 20 mm,mean wet-day amount (mm),wettest day (mm),"R95p total (mm), p95=16.7","R99p total (mm), p99=28.1",longest dry spell (days),longest wet spell (days)
1946,921.700,191,137,30,8,6.529,41.200,255.100,114.900,14,7
1947,915.700,187,143,21,10,6.257,52.300,380.300,145.900,35,8
1948,829.300,193,141,23,5,5.682,36.700,188.400,69.000,24,10
1949,598.300,177,114,13,3,4.978,53.000,130.900,85.400,18,7
1950,794.500,203,142,17,4,5.367,24.200,128.400,0.000,17,7
1951,743.600,201,140,21,1,5.121,31.100,85.100,31.100,14,8
1952,677.200,172,123,14,6,5.324,30.500,194.400,30.500,18,5
1953,580.600,157,102,15,2,5.399,27.200,88.500,0.000,34,6
1954,813.000,212,148,17,4,5.280,47.900,199.300,47.900,27,7
1955,709.500,171,115,19,4,5.938,54.400,153.700,113.200,29,7
1956,787.800,193,128,23,5,5.903,28.900,181.300,28.900,12,10
1957,827.300,195,140,21,3,5.711,27.100,196.800,0.000,17,7
1958,1033.900,198,140,32,10,7.152,33.200,327.200,65.500,15,9
1959,668.500,155,108,15,5,5.956,35.200,169.500,132.100,28,9
1960,1034.300,215,152,31,6,6.618,46.500,251.200,107.700,14,9
1961,678.500,182,121,17,2,5.346,33.700,73.400,33.700,29,5
1962,654.200,177,123,11,2,5.082,31.100,88.900,31.100,22,5
1963,642.900,184,131,8,2,4.690,51.200,91.200,51.200,18,8
1964,689.100,186,125,19,1,5.262,22.300,115.900,0.000,17,7
1965,848.100,199,152,18,6,5.420,44.500,198.000,84.800,14,10
1966,1020.900,200,149,32,9,6.685,44.000,313.800,44.000,15,9
1967,781.700,206,151,16,6,4.983,34.800,191.900,64.700,14,19
1968,790.000,174,124,22,5,6.156,39.500,175.100,72.400,29,8
1969,701.400,165,111,23,5,6.045,27.200,171.900,0.000,18,7
1970,713.600,188,134,17,2,5.108,26.200,90.400,0.000,16,11
1971,591.600,145,94,20,4,5.984,33.900,195.900,63.000,22,7
1972,669.100,175,117,15,4,5.447,32.800,125.000,64.400,29,7
1973,685.600,175,120,16,2,5.477,28.800,106.000,28.800,20,6
1974,702.600,193,132,17,5,5.092,32.800,172.000,32.800,18,8
1975,583.700,158,104,14,3,5.329,39.500,141.100,39.500,22,5
1976,726.600,166,118,18,4,5.969,31.300,213.200,121.800,22,8
1977,689.700,198,146,14,2,4.553,31.000,106.100,31.000,22,14
1978,785.200,174,122,25,4,6.225,27.600,131.000,0.000,14,6
1979,836.500,202,145,20,5,5.574,33.200,185.500,33.200,18,6
1980,825.100,201,145,18,7,5.478,35.400,188.000,95.300,34,8
1981,842.200,201,132,24,5,6.145,32.600,189.600,62.300,26,8
1982,747.000,190,138,19,2,5.238,55.000,139.100,55.000,24,10
1983,702.300,178,128,17,2,5.296,29.300,71.400,29.300,13,7
1984,761.200,177,134,22,5,5.532,32.300,149.800,61.900,25,8
1985,775.400,189,138,18,5,5.448,26.100,156.600,0.000,22,12
1986,821.800,208,136,19,7,5.787,56.500,257.900,88.600,24,7
1987,740.400,184,125,15,5,5.678,48.300,189.100,48.300,19,7
1988,692.500,192,129,10,2,5.116,28.900,108.400,28.900,18,7
1989,555.100,179,108,10,1,4.836,22.600,96.600,0.000,16,5
1990,728.500,172,123,20,2,5.716,41.700,108.500,73.800,17,6
1991,677.300,183,122,15,5,5.293,30.600,143.700,30.600,23,5
1992,623.900,174,123,13,4,4.846,28.400,102.400,28.400,25,10
1993,874.700,190,143,16,3,5.948,92.400,233.800,180.000,20,10
1994,786.600,212,156,15,3,4.865,25.600,102.700,0.000,16,6
1995,711.100,182,121,14,5,5.606,39.000,166.300,99.400,29,8
1996,787.200,198,136,14,5,5.554,43.500,175.100,85.400,27,13
1997,726.100,194,133,17,4,5.230,29.900,115.800,29.900,27,13
1998,831.400,229,156,18,3,5.101,32.800,128.800,32.800,16,8
1999,715.800,198,126,17,2,5.383,39.700,78.500,39.700,16,7
2000,843.400,228,152,14,5,5.309,39.400,187.500,105.600,15,8
2001,628.600,199,130,11,2,4.535,32.700,105.600,32.700,17,7
2002,1095.400,222,166,28,10,6.439,74.600,373.500,268.100,20,8
2003,653.500,175,109,14,2,5.671,48.500,153.400,82.500,21,7
2004,702.600,203,132,21,3,5.030,32.700,146.600,32.700,21,6
2005,683.100,193,128,20,5,5.078,31.900,157.500,31.900,17,14
2006,740.000,189,129,19,3,5.472,29.700,116.000,29.700,22,10
2007,761.000,188,138,20,3,5.323,30.500,129.400,30.500,23,10
2008,942.600,207,140,24,6,6.508,76.100,256.400,151.000,18,7
2009,917.500,208,152,24,8,5.847,42.400,308.000,165.000,24,10
2010,671.700,181,132,15,1,4.885,20.500,56.700,0.000,20,10
2011,671.800,193,136,10,3,4.721,69.500,177.100,114.000,20,6
2012,849.500,204,153,24,3,5.373,36.600,176.000,36.600,14,8
2013,763.900,184,137,17,7,5.408,33.400,214.300,62.900,20,7
2014,927.200,209,151,21,4,5.940,79.600,225.900,79.600,20,8
2015,878.400,197,146,23,4,5.840,38.900,186.100,106.400,20,8
2016,712.700,192,132,20,3,5.176,37.600,122.500,37.600,18,5
2017,661.600,191,124,14,4,5.071,51.900,159.600,93.800,17,8
2018,695.800,190,125,20,2,5.284,21.100,117.400,0.000,28,8
2019,886.000,203,138,28,6,6.205,25.000,191.700,0.000,17,11
2020,748.600,197,142,21,3,5.066,25.700,89.600,0.000,15,9
2021,666.600,172,108,16,6,5.856,26.900,152.700,0.000,25,6
2022,687.100,179,119,17,4,5.518,31.300,126.300,31.300,18,7
2023,1001.500,214,158,29,8,6.168,51.200,262.100,109.400,30,11
2024,669.200,199,134,16,2,4.769,45.200,85.700,45.200,12,6
2025,805.000,183,135,21,5,5.790,42.100,181.500,70.900,18,7
