month,1961-1990,1991-2020,change (mm),change %,p (Welch),significant at 5%
January,69.323,62.080,-7.243,-10.449,0.341,no
February,50.577,51.613,1.037,2.050,0.895,no
March,53.740,51.467,-2.273,-4.230,0.724,no
April,50.790,55.327,4.537,8.932,0.524,no
May,55.113,56.597,1.483,2.691,0.852,no
June,56.010,63.430,7.420,13.248,0.401,no
July,49.900,62.097,12.197,24.442,0.110,no
August,70.463,73.597,3.133,4.447,0.752,no
September,66.770,61.397,-5.373,-8.048,0.539,no
October,69.583,79.460,9.877,14.194,0.333,no
November,64.863,83.353,18.490,28.506,0.091,no
December,75.617,71.883,-3.733,-4.937,0.692,no
