series,OLS slope (mm/decade),CI low,CI high,p (autocorr-adjusted),Sen slope (mm/decade),Mann-Kendall p,Kendall tau,n years,lag-1 autocorr,effective n,methods agree,OLS slope (days/decade),Sen slope (days/decade)
Annual total,0.99207,-10.11426,12.09839,0.85928,0.84191,0.83868,0.01551,80,0.01111,78.24201,True,,
Winter (DJF),-2.58398,-8.40561,3.23765,0.37954,-3.66129,0.18515,-0.10162,79,0.00000,79.00000,True,,
Spring (MAM),-0.18756,-4.40833,4.03321,0.92972,1.08333,0.57052,0.04351,79,0.00000,79.00000,True,,
Summer (JJA),0.37902,-6.59085,7.34888,0.91393,-0.18182,0.90900,-0.00876,79,0.05332,71.00166,True,,
Autumn (SON),5.22305,-0.90702,11.35312,0.09381,5.33333,0.11050,0.12236,79,0.00000,79.00000,True,,
Wet days (>= 1 mm),,-0.39358,2.36405,0.15885,,0.20927,0.09649,80,0.00000,80.00000,True,0.98523,0.95238
Heavy days (>= 10 mm),,-0.57577,0.45434,0.81491,,0.94018,0.00587,80,0.03477,74.62366,True,-0.06071,0.00000
Mean wet-day amount (>= 1 mm),-0.03730,-0.08764,0.01304,0.14420,-0.02904,0.22507,-0.09241,80,0.00000,80.00000,True,,
Wettest day of the year,0.67246,-0.65035,1.99526,0.31464,0.11679,0.83218,0.01616,80,0.00000,80.00000,True,,
Wettest hour of the year,0.00673,-0.49769,0.51115,0.97881,0.00000,0.95361,-0.00445,80,0.12574,62.12843,True,,
"R95p total (mm), p95=16.7",-2.58565,-9.32708,4.15577,0.44702,-1.64752,0.55800,-0.04463,80,0.03825,74.10545,True,,
"R99p total (mm), p99=28.1",0.61126,-4.26238,5.48491,0.80340,0.00000,0.90045,-0.00966,80,0.01599,77.48217,True,,
